Plant ID,index,plot,plant,kind,center.x(m),center.y(m),min_rect_width(m),min_rect_length(m),hover_area(m2),PLA(cm2),centroid.x(m),centroid.y(m),long_axis(m),short_axis(m),orient_deg2xaxis,percentile_height(m)
54,4,S09 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,1.140682109,-1.549286191,0.19455003,0.204117952,0.034159778,164.2222222,1.145574194,-1.553502101,0.207058023,0.179644842,-74.90187604,0.180172057
55,5,S09 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,1.329515543,-1.920198338,0.315005309,0.360922507,0.080809475,199.1111111,1.32576801,-1.921513852,0.339968811,0.278818578,-54.45158794,0.184742275
56,0,S10 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,-8.366797299,-2.368580113,0.218369845,0.272391151,0.046571322,188.3333333,-8.370629435,-2.372022987,0.24249592,0.204334328,-62.58071251,0.180634142
57,1,S10 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,-7.975090917,-2.64447235,0.299458115,0.397280525,0.087316599,229.8888889,-7.974469785,-2.643856486,0.37534032,0.27577116,-0.595373543,0.121087813
58,2,S10 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,-7.698940849,-2.381796284,0.400243466,0.427520024,0.139842207,358.1111111,-7.701794857,-2.37378629,0.40562012,0.366501534,-1.694626059,0.063999353
59,3,S10 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,-7.41860079,-2.696182723,0.348141257,0.3475677,0.093594905,210.2222222,-7.420555572,-2.694714538,0.364021736,0.301857948,-71.65547127,0.186926982
60,4,S10 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,-7.147058144,-2.454149826,0.388739245,0.341447997,0.104490077,269.2222222,-7.157129029,-2.442476151,0.411373828,0.267335144,-70.83660923,0.132531396
61,5,S10 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,-6.777009171,-2.442314971,0.239073657,0.450496406,0.078082753,216.6666667,-6.777909681,-2.44541061,0.461587631,0.193188778,-83.32015516,0.161804373
62,0,S11 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,-7.139036008,-2.978934605,0.409856081,0.220589004,0.073982927,241.1111111,-7.14619405,-2.983199861,0.382174021,0.189061957,52.03484268,0.195901864
63,1,S11 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,-6.778143419,-3.077230968,0.212251615,0.307072319,0.049683035,189.1111111,-6.785705614,-3.083096713,0.266261899,0.16433943,-9.742570282,0.170178809
64,2,S11 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,-6.501576864,-2.836281187,0.270680031,0.409997291,0.074783689,202,-6.508269104,-2.833995919,0.371075763,0.225711819,-20.62476904,0.135249768
65,3,S11 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,-6.287336289,-3.13200562,0.356989032,0.391023902,0.106840947,264.3333333,-6.282070733,-3.134557024,0.371654522,0.310825878,-43.2143882,0.097123244
66,4,S11 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,-6.062970344,-2.756081714,0.413374159,0.356453324,0.101659629,201.5555556,-6.074301214,-2.757219163,0.458648903,0.267996898,60.82940459,0.205126956
67,5,S11 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,-5.843220719,-3.08061627,0.296745183,0.397796781,0.082222856,245.1111111,-5.842921045,-3.082166963,0.391838442,0.239933563,-46.91096272,0.098910081
68,0,S12 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,0.320394879,-0.846762111,0.357886694,0.487050505,0.126921491,329.2222222,0.31144731,-0.847522013,0.43837695,0.333783007,-40.32390814,0.137901756
69,1,S12 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,0.629110903,-0.566491384,0.325111763,0.472871029,0.108506867,295.5555556,0.621964608,-0.570924432,0.432766761,0.287846391,-88.10499989,0.107282965
70,2,S12 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,0.813854617,-0.955060935,0.295920445,0.267198269,0.057454328,216.4444444,0.817428352,-0.952318242,0.268534962,0.234374464,-54.43169432,0.133717324
71,3,S12 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,1.057929966,-0.707854284,0.28400073,0.373868647,0.075757225,191.7777778,1.070907585,-0.709676299,0.414817814,0.198400104,-41.33115059,0.173224424
72,4,S12 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,1.504535011,-0.541578038,0.533146753,0.406692777,0.147690842,371,1.509664013,-0.540101038,0.46540333,0.342869437,71.08432147,0.1044653
73,5,S12 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,1.669998174,-0.913354101,0.319946728,0.347471555,0.079378545,212.4444444,1.67247642,-0.919840278,0.366530755,0.260160091,-81.58450528,0.076972646
74,0,S13 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,0.137428114,-1.931038321,0.422628445,0.263924134,0.086102347,240.5555556,0.132004696,-1.926321428,0.425473492,0.226690215,29.53700834,0.107291258
75,1,S13 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,0.368870249,-2.153053868,0.295823697,0.308082646,0.063449878,208.3333333,0.362962066,-2.162702606,0.326720767,0.239666099,71.05690021,0.079703908
76,2,S13 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,0.575580662,-1.855491786,0.297293521,0.462232199,0.092339168,247.6666667,0.589261337,-1.864687106,0.40756173,0.272909862,-22.32984581,0.068548902
